label,label_eng,label_clean,remove
snoepautomaat,candy machine,snoepautomaat,
onderin,at the bottom,,x
een uitsteeksel,a protrusion,uitsteeksel,
nog een,another,,x
links twee,left two,,x
er doorheen met,through it with,doorheen,
tafelpot,table pot,tafelpot,
dinge,thinge,dinge,
rond,around,rond,
twee rond aan,two around to,rond,
kubus die,cube that,kubus,
door de neus heen,through the nose,door  neus heen,
Oh ja ja,Oh yes yes yes,,x
een soort spijker,a kind of nail,spijker,
wijzen,indicate,wijzen,
knuffel,hug,knuffel,
cape-achtig,cape-like,cape-achtig,
en dat staart,and that stares,dat staart,
kuif aan de,crest on the,kuif,
cape,cape,cape,
schuin onderzetter,slanted coaster,schuin onderzetter,
aan de muur,on the wall,muur,
snijden,cut,snijden,
bekerhouder,cup holder,bekerhouder,
cilindervormig,cylindrical,cilindervormig,
uitstulpsel,protrusion,uitstulpsel,
staan ook,are also,,x
zeshoekig,hexagonal,zeshoekig,
afvoerpu,drainpu,afvoerpu,
armp met,armp with,armp,
hebben zo'n,have such,,x
vastzit,stuck,vastzit,
ei op,egg on,ei,
één floep,one flop,floep,
varkensneus,pig nose,varkensneus,
tafelpoo,tablepoo,tafelpoo,
in ieder geval,in any case,in ieder geval,
strijkijzer,iron,strijkijzer,
drie bollet,three ballet,drie bollet,
het bakje,the container,bakje,
zonder neuspiercing,without nose piercing,zonder neuspiercing,
paddenstoelt,toadstool,paddenstoelt,
bekervorm,cup shape,bekervorm,
bolletje bovenop,pellet on top,bolletje,
het bollet bovenop,the bollet on top,bollet,
met bollet,with polka dot,bollet,
de kraan,the crane,kraan,
wasbak,sink,wasbak,
doorsnijden,cut through,doorsnijden,
kijken,watch,,x
eronder,under it,,x
de voorkant,the front,,x
staan,are,,x
yoghurtbak,yogurt bowl,yoghurtbak,
aan de voorkant,up front,,x
kant,side,,x
op zijn kop,upside down,kop,
schuin,slanted,schuin,
okee,okay,,x
een soort van,a kind of,,x
soort van,sort of,,x
klein,small,klein,
hoofdvorm,main form,hoofdvorm,
de hoofdvorm,the main form,hoofdvorm,
vierkant,square,vierkant,
een cirkel,a circle,cirkel,
weer,again,,x
kop,header,kop,
ei,egg,ei,
liggen,lie,liggen,
zo ineen,together like this,zo ineen,
een langwerpig,an oblong,langwerpig,
link,link,,x
weer de,again the,,x
een soort,sort of,,x
soort,type,,x
staaf,bar,staaf,
erachter,behind,,x
vast,fixed,vast,
kraantje,tap,kraantje,
klein worden,dwindle,klein worden,
rechts,right,,x
poot,paw,poot,
taartpunt,cake tip,taartpunt,
aan de linkerkant die,on the left that,,x
eraan,to it,,x
hebben,have,,x
erin,in it,,x
daarop,thereon,daarop,
yoghurtbakje,yogurt tray,yoghurtbakje,
plateaut,plateaut,plateaut,
hebben je weer,have you again,,x
aan de rechterkant,on the right side,,x
aan de linkerkant,on the left,,x
paddestoel,mushroom,paddestoel,
voorop,ahead,,x
uitsteken,protruding,uitsteken,
plat,flat,plat,
onderkant,bottom,,x
steken,stitches,steken,
plateau,plateau,plateau,
vastgeplken,stuck,vastgeplken,
daaraan,thereto,daaraan,
cirkel,circle,cirkel,
eigenlijk,actually,,x
punt,point,punt,
kegel,cone,kegel,
een staaf,a bar,staaf,
beetje,bit,,x
tafelpoot,table leg,tafelpoot,
waarbij,in which,waarbij,
kraan,crane,kraan,
linksonder,bottom left,,x
feestmuts,party hat,feestmuts,
aan de uiteinde,at the tip,uiteinde,
keer,times,keer,
een yoghurtbak,a yogurt container,yoghurtbak,
vorm,form,vorm,
nou,well,,x
vinden,find,,x
het plateau,the plateau,plateau,
wachten,wait,,x
langwerpig,oblong,langwerpig,
standaard,standard,standaard,
parasolle,parasolle,parasolle,
lang neus,long nose,lang neus,
konijn,rabbit,konijn,
deze hebben,these have,,x
hoofd,head,hoofd,
wc-pot,toilet bowl,wc-pot,
bol,sphere,bol,
haak,hook,haak,
deze hebben een,these have a,,x
een nagel,a nail,nagel,
knop,button,knop,
sumoworstelaar,sumo wrestler,sumoworstelaar,
hendel,lever,hendel,
Aardappelneus,Potato Nose,aardappelneus,
rechts twee,right two,,x
hoed,hat,hoed,
neus,nose,neus,
water,water,water,
links,left,,x
draaien,turn,draaien,
een scherm,a screen,scherm,
gieter,watering can,gieter,
spuugen,spit,spuugen,
aardappelneus,potato nose,aardappelneus,
aan de achterkant,overleaf,,x
kogel,bullet,kogel,
op bed,in bed,bed,
en rechts met,and right with,,x
lijken,appear,,x
zijn hoofd,his head,hoofd,
op zijn hoofd,on his head,hoofd,
fez,fez,fez,
deze staat,this state,staat,
statief,tripod,statief,
punthoed,pointed hat,punthoed,
slurf,trunk,slurf,
aan de zijkant,on the side,,x
schroef,screw,schroef,
hanekam,hanekam,hanekam,
pinokkio-neus en,pinocchio nose and,pinokkio-neus,
krijgen,get,krijgen,
pinokkio-neus,pinocchio nose,pinokkio-neus,
vlecht,braid,vlecht,
pyramide,pyramid,pyramide,
oor,ear,oor,
pluimp op,plume on,pluimp,
het lijken,it seems,,x
noemen,mention,,x
half,half,half,
rok,skirt,rok,
heel,very,,x
zo'n soort,that kind of,,x
schijf,disk,schijf,
aan de bovenkant en,at the top and,,x
die trapeze,that trapeze,trapeze,
driehoek,triangle,driehoek,
uitsteeksel,protrusion,uitsteeksel,
zo'n heel,such a,,x
ruit,window,ruit,
twee blok,two block,blok,
linksboven,top left,linksboven,
met het paddestoelt,with the toadstool,paddestoelt,
handvatt,handle,handvatt,
ovaal,oval,ovaal,
handvat,handle,handvat,
erdoorheen,through it,erdoorheen,
simpel,simple,simpel,
emmer,bucket,emmer,
twee ding,two thing,,x
plaat,plate,plaat,
haaks op elkaar,perpendicular,haaks  elkaar,
tafel,table,tafel,
horizontaal,horizontal,horizontaal,
dinget,dinget,dinget,
even,just,,x
kralenketting,beaded necklace,kralenketting,
gezicht,face,gezicht,
citroen,lemon,citroen,
stok,stick,stok,
een bal,a ball,bal,
uiteinde,end,uiteinde,
aan de onderkant,underneath,,x
niet erbovenop,not on top,,x
schoorsteen,chimney,schoorsteen,
ding,thing,,x
voet,foot,voet,
staart,tail,staart,
linkerkant van het midden,left of center,midden,x
linksachter,rear left,,x
voe,voe,voe,
en daarvoor,and before that,,x
stuk,piece,stuk,
oké,okay,,x
liniaal,ruler,liniaal,
gootje,gutter,gootje,
bal,ball,bal,
ballet,ballet,ballet,
een beetje,somewhat,,x
dienblad,tray,dienblad,
spijker,nail,spijker,
een vierkant,a square,vierkant,
poo,poo,poo,
groot,great,groot,
kunnen zetten,can put,kunnen zetten,
kubus,cube,kubus,
ook vier,also four,,x
zuignap,suction cup,zuignap,
die steeds groot worden,who keep getting big,steeds groot worden,
steeds,becoming,steeds,
piramide op,pyramid on,piramide,
inderdaad,indeed,,x
vogel,bird,vogel,
op tafel,on the table,tafel,
cirkel aan de voorkant,front circle,cirkel,
korfbal,korfball,korfbal,
been,leg,been,
de emmer,the bucket,emmer,
goo,goo,goo,
pinokkioneus,pinokkioneus,pinokkioneus,
met aan beide kant,with on both sides,,x
bovenkant,top,,x
aan de bovenkant,at the top,,x
= ja,= yes,=,
een voetstuk en,a pedestal and,voetstuk,
plat rond,flat round,plat rond,
arm,arm,arm,
puntmuts,pointed hat,puntmuts,
egaalteken,evenmark,egaalteken,
dat ding,that thing,dat,
nummer,number,,x
staan op,are on,,x
door de tafel,through the table,door  tafel,
dun,thin,dun,
naar dik,to thick,dik,
armpje,arm,armpje,
pippi,pippi,pippi,
wijnglas,wine glass,wijnglas,
lepel,spoon,lepel,
dat zijn nummer,that his number,,x
balk,bar,balk,
rechthoek,rectangle,rechthoek,
krom,crooked,krom,
oog,eye,oog,
knot,bun,knot,
compact,compact,compact,
pixeliseren,pixelizing,pixeliseren,
toeter,horn,toeter,
ISteken,ISign,isteken,
zakken,bags,zakken,
mouw,sleeve,mouw,
twee dezelfde,two identical,dezelfde,
driehoek op,triangle on,driehoek,
een driehoeksstaaf,a triangle bar,driehoeksstaaf,
hartje,heart,hartje,
staf,staff,staf,
gewoon,simply,gewoon,
rechterkant,right side,,x
de rechterkant,the right side,,x
maar één,only one,,x
cactus,cactus,cactus,
bolle,convex,bolle,
pilvormig,pill-shaped,pilvormig,
uitstulping,bulge,uitstulping,
en rechts,and right,,x
twee klein,two small,klein,
hart,heart,hart,
bakje,bowl,bakje,
sterrenkijker,stargazer,sterrenkijker,
de uiteind,the final,uiteind,
lampenkap,lampshade,lampenkap,
het kop,the head,kop,
staan een,are a,,x
rechtsvoor,right front,,x
staat,state,staat,
een kapstok,a coat rack,kapstok,
neuspiercing,nose piercing,neuspiercing,
appelsteel,apple stalk,appelsteel,
het fietsstuur,the bicycle handlebars,fietsstuur,
lang,long,lang,
de onderkant,the bottom,,x
de dansen,the dances,dansen,
net,just,,x
bedoelen,mean,,x
beker,cup,beker,
roken,smoking,roken,
ballerina,ballerina,ballerina,
m,m,,x
raket,rocket,raket,
de bovenkant,the top,,x
twee identiek,two identical,identiek,
door het kop,by the head,door  kop,
lijken op,resemble,,x
dwars door het,right through the,dwars door,
kapstok,coat rack,kapstok,
identiek,identical,identiek,
joystick,joystick,joystick,
knuppel,bat,knuppel,
staar,cataract,staar,
space shuttle,space shuttle,space shuttle,
wijzen,indicate,wijzen,
fiets,bike,fiets,
kubus die,cube that,kubus,
wiskundig,mathematical,wiskundig,
zijn er maar één,there are only one,,x
dobbelsteen,die,dobbelsteen,
driehoekig,triangular,driehoekig,
feesthoed,party hat,feesthoed,
met ijsblok,with ice cube,ijsblok,
spriet bovenop,sprit on top,spriet,
antenne,antenna,antenne,
hondenkoek,dog cake,hondenkoek,
trompet,trumpet,trompet,
half cirkel,semi-circle,half cirkel,
voelspriet,feeler,voelspriet,
twee verrekijker aan de,two binoculars to the,verrekijker,
bokaal,goblet,bokaal,
verrekijker,binoculars,verrekijker,
recht,straight,,x
ISteken aan de rechterkant,ISign on the right,isteken,
piratenverrekijker,pirate binoculars,piratenverrekijker,
de lang,the long,lang,
twee poot,two-legged,poot,
rechtsboven,top right,,x
vlak,flat,vlak,
piercing,piercing,piercing,
houdert,houdert,houdert,
twee streep,two stroke,streep,
top,top,,x
linker uitsteeksel,left protrusion,uitsteeksel,
twee balk bovenop,two bar on top,balk,
muur,wall,muur,
aan de bovenzijde,at the top,,x
aan de onderzijde,underneath,,x
naald,needle,naald,
helemaal,totally,,x
een stopcontact,an outlet,stopcontact,
boek,book,boek,
een roerstaaf,a stirrer,roerstaaf,
de linkerkant,the left side,,x
tipitent,tipitent,tipitent,
even kijken,let's see,,x
stomp,blunt,stomp,
omschrijven,define,omschrijven,
een driehoek,a triangle,driehoek,
een blok,one block,blok,
opengeslagen,open,opengeslagen,
eruit,out,eruit,
de rechterzijde,the right side,,x
toch,anyway,,x
kaneelstaaf,cinnamon bar,kaneelstaaf,
rechts en,right and,,x
tuitje,spout,tuitje,
cocktail,cocktail,cocktail,
lopen,run,lopen,
spiraal,spiral,spiraal,
het houdert,it holds,houdert,
de zijkant,the side,,x
uit de muur,out of the wall,uit  muur,
satelliet,satellite,satelliet,
vulkaan,volcano,vulkaan,
blok,block,blok,
echt een,really a,,x
nog twee,two more,,x
mooi,beautiful,mooi,
aan de linkerzijde,on the left,,x
niet helemaal,not exactly,,x
op een plateau,on a plateau,plateau,
kwastje,tassel,kwastje,
post its,post its,post its,
houder,holder,houder,
kwast,brush,kwast,
twee armp,two armp,armp,
daarboven,up there,,x
voorkant,front,,x
moeten uitleggen,have to explain,,x
vak,box,vak,
pedaal,pedal,pedaal,
dinget uit,dinget out,dinget uit,
zo'n beitel,such a chisel,beitel,
zo'n kromming,such a curve,kromming,
ja met die stang,yes with that rod,stang,
achterkant,backside,,x
zitten,sit,zitten,
bank,bank,bank,
deze zijn met die diamant,these are with that diamond,diamant,
vormp,formp,vormp,
verhoginkje,booster,verhoginkje,
aflopend,descending,aflopend,
vallen,fall,vallen,
bijna,almost,,x
cilinder,cylinder,cilinder,
beeld,image,beeld,
dat cirkeltje,that little circle,dat cirkeltje,
een bel,a bell,bel,
okee dat zijn,okay those are,dat,x
raar,weird,raar,
rechthoekig,rectangular,rechthoekig,
sorry,sorry,,x
buis,tube,buis,
aflopen,expire,aflopen,
cirkeltje,circle,cirkeltje,
komma,comma,komma,
schep,scoop,schep,
het vierkan,the square,vierkan,
dinge er,thinge er,dinge,
druppel,drop,druppel,
IKEAsleutel,IKEA key,ikeasleutel,
blokkentorens,block towers,blokkentorens,
ingestoken,inserted,ingestoken,
schotel,dish,schotel,
dwars,cross,dwars,
zijkant,side,,x
slaan,hit,slaan,
linkerkant,left side,,x
twee blokkentorens,two block towers,blokkentorens,
eindigen,end,eindigen,
kegelvorm,cone shape,kegelvorm,
blokkentoren,block tower,blokkentoren,
liggen een,lie a,liggen,
erbovenop,on top,erbovenop,
gek,crazy,gek,
een balk,a bar,balk,
hoeven,hooves,hoeven,
er net bovenuit,just above,,x
druppelvorm,drop shape,druppelvorm,
zonnepaneel,solar panel,zonnepaneel,
yes,yes,,x
de l-vorm,the l-shape,l-vorm,
toren,tower,toren,
twee druppelvormen,two drop shapes,druppelvormen,
twistervorm,twist shape,twistervorm,
wokkel,wokkel,wokkel,
een schijf,one disk,schijf,
pluimp bovenop,plume on top,pluimp,
echt,truly,,x
een toiletpot,a toilet bowl,toiletpot,
eineus,eineus,eineus,
lat,lat,lat,
kraalt,kraalt,kraalt,
verticaal,vertical,verticaal,
door het plateau,through the plateau,door  plateau,
kap,hood,kap,
deze zijn er niet doorheen zakken,these have not fallen through,doorheen zakken,
houten,wooden,houten,
zoeken,search,,x
tipiten,tipiten,tipiten,
ja precies,yes exactly,,x
kop met,head with,kop,
legoblok,legoblock,legoblok,
ei bovenop,egg on top,ei,
eit,eit,eit,
legoblokjes,lego bricks,legoblokjes,
USB-C,USB-C,usb-c,
spijkert,nails,spijkert,
Springstok,Jumpstick,springstok,
omhoog,up,,x
schaalt,scales,schaalt,
figuur,Figure,figuur,
een la,a drawer,la,
vangrail,crash barrier,vangrail,
blik,tin,blik,
linksvoor,left front,,x
een ei,an egg,ei,
schaal,scale,schaal,
precies,exactly,,x
stropdas,tie,stropdas,
dat platform,that platform,dat platform,
theekop,teacup,theekop,
een slurf,a trunk,slurf,
trechter,funnel,trechter,
steeds klein worden,get smaller and smaller,steeds klein worden,
bijzettafel,side table,bijzettafel,
schuin vierkant,oblique square,schuin vierkant,
pen,pen,pen,
zijn hij wat kort,are he a little short,wat kort,
helikopter,helicopter,helikopter,
penachtig,pen-like,penachtig,
Baseballbat,Baseball bat,baseballbat,
voetstuk,pedestal,voetstuk,
bred,bred,bred,
glijbaan,slide,glijbaan,
balk bovenop,bar on top,balk,
aan de zijkant ook ja,On the side also yes,,x
twee gelijkwaardig,two equivalent,gelijkwaardig,
naar je toe wijzen,point to you,toe wijzen,
eraf,off,eraf,
één er,one there,,x
door het voorwerp,by the object,,x
towers,towers,towers,
scherp,sharp,scherp,
plaat eronder,plate underneath,plaat,
steeds bred,increasingly bred,steeds bred,
zijn aan de linkerkant,are on the left side,,x
kort,short,kort,
ontstopper,plunger,ontstopper,
hoog,high,hoog,
dobber,float,dobber,
bollet,bollet,bollet,
vleugel,wing,vleugel,
hand,hand,hand,
antenne bovenop,antenna on top,antenne,
pijl,arrow,pijl,
Towers,Towers,towers,
zien,see,zien,
helft,half,helft,
vlak ervoor,just before,vlak,
hol,hollow,hol,
bloempot die,flowerpot that,bloempot,
mogen beginnen,may begin,mogen,
vier kubus aan,four cube to,vier kubus,
gewoon een,just a,,x
vierkan,square,vierkan,
koffiefilter,coffee filter,koffiefilter,
tafel met,table with,tafel,
moeilijk,difficult,moeilijk,
wcrolhouder,toilet roll holder,wcrolhouder,
wc-rolhouder,toilet roll holder,wc-rolhouder,
vier kubus,four cube,vier kubus,
trapezium,trapezoid,trapezium,
omschrijven als,describe it as,,x
inkeping,notch,inkeping,
pipet,pipette,pipet,
halter,dumbbell,halter,
theepot,teapot,theepot,
piramide,pyramid,piramide,
zonder top,without top,zonder,
uitleggen,explain,uitleggen,
pluim,plume,pluim,
uitstulpsel,protrusion,uitstulpsel,
dit zijn weer,these are again,,x
plat cirkel,flat circle,plat cirkel,
een paddestoel,a mushroom,paddestoel,
lang dan,longer than,lang,
schroef aan de,screw on the,schroef,
een klein,a small,klein,
paal,post,paal,
die blok die,that block that,blok,
en aan de rechterkant,and on the right side,,x
de helft,half,helft,
diamant,diamond,diamant,
bovenop zitten,sit on top,zitten,
een rondachtig,a roundish,rondachtig,
dat gek,that crazy,dat gek,
zeshoekig,hexagonal,zeshoekig,
uitschuiven,extend,uitschuiven,
zegmaar,say,zegmaar,
er doorheen,through,doorheen,
weer met,again with,,x
die robot,that robot,robot,
die dinget,that thinget,dinget,
hij staan,he stand,,x
ja dit zijn weer met,yes these are again with,,x
rek,rack,rek,
ei met,egg with,ei,
hoekje,corner,hoekje,
deksel,lid,deksel,
een plateau onder,a plateau under,plateau onder,
trompetje,trumpet,trompetje,
schiet,shoot,schiet,
naar links,to the left,,x
Swirl,Swirl,swirl,
streep,stripe,streep,
het kop heen,the head over,kop heen,
donker,dark,donker,
twee rond aan,two around to,rond,
sierlijk,graceful,sierlijk,
rechter,right,rechter,
één zijn,be one,,x
pixelachtig,pixelated,pixelachtig,
daaronder,underneath,,x
dinge,thinge,dinge,
dun armpjes,thin arms,dun armpjes,
gelijk,equal,gelijk,
zitten twee,are two,,x
attachment,attachment,attachment,
armp,armp,armp,
propeller,propeller,propeller,
misschien,maybe,,x
plank,board,plank,
drie ding,three thing,drie,
leunt,leans,leunt,
de bovenkant en,the top and,,x
propellerkop,propeller head,propellerkop,
naar rechts,to the right,,x
wijken,districts,wijken,
pilaar,pillar,pilaar,
een pilaar,a pillar,pilaar,
bak,bin,bak,
doorboren,pierce,doorboren,
houtversnipperaar,wood chipper,houtversnipperaar,
penceel,pencil,penceel,
beide kant,both sides,,x
bak met,container with,bak,
makkelijk,easy,makkelijk,
een buis,a tube,buis,
borstel,brush,borstel,
Frankenstein,Frankenstein,frankenstein,
jij noemen,you mention,,x
de bak,the bin,bak,
