Begin Time - msec	End Time - msec	Duration - msec	A_LH_gesture	A_RH_gesture	B_LH_gesture	B_RH_gesture	File	File Path	A_LH_gesture_beat	A_LH_gesture_comments	A_LH_gesture_deixis	A_LH_gesture_iconicity	A_LH_gesture_pragmaticality	A_LH_gesture_referent	A_RH_gesture_beat	A_RH_gesture_comments	A_RH_gesture_deixis	A_RH_gesture_iconicity	A_RH_gesture_pragmaticality	A_RH_gesture_referent	A_speech	A_speech_eng	B_LH_gesture_beat	B_LH_gesture_comments	B_LH_gesture_deixis	B_LH_gesture_iconicity	B_LH_gesture_pragmaticality	B_LH_gesture_referent	B_RH_gesture_beat	B_RH_gesture_comments	B_RH_gesture_deixis	B_RH_gesture_iconicity	B_RH_gesture_pragmaticality	B_RH_gesture_referent	B_speech	B_speech_eng	accuracy	comments	correct_answer	director	given_answer	round	target	trial
192690	193240	550					009.eaf																																L	B		1.0	7.0	1_4
192870	193280	410	gesture	gesture			009.eaf					1.0		main				1.0		main																			L	B		1.0	7.0	1_4
193600	193930	330			gesture		009.eaf																		1.0										en dan heb je aan de link- linksboven een heel klein bochtje naar boven	and then on the upper left you have a very small bend upward			L	B		1.0	7.0	1_4
194560	194860	300			gesture		009.eaf																		1.0										en dan heb je aan de link- linksboven een heel klein bochtje naar boven	and then on the upper left you have a very small bend upward			L	B		1.0	7.0	1_4
194860	195140	280			undecided		009.eaf																												en dan heb je aan de link- linksboven een heel klein bochtje naar boven	and then on the upper left you have a very small bend upward			L	B		1.0	7.0	1_4
195150	195590	440	gesture				009.eaf				1.0																								en dan heb je aan de link- linksboven een heel klein bochtje naar boven	and then on the upper left you have a very small bend upward			L	B		1.0	7.0	1_4
195830	196310	480			non-gesture		009.eaf																												en dan heb je aan de link- linksboven een heel klein bochtje naar boven	and then on the upper left you have a very small bend upward			L	B		1.0	7.0	1_4
196120	196440	320	undecided	undecided			009.eaf														Linksboven.	Top left.													en dan heb je aan de link- linksboven een heel klein bochtje naar boven	and then on the upper left you have a very small bend upward			L	B		1.0	7.0	1_4
197100	197330	230			gesture		009.eaf																			1.0		07D							en dan heb je aan de link- linksboven een heel klein bochtje naar boven	and then on the upper left you have a very small bend upward			L	B		1.0	7.0	1_4
198410	198700	290			undecided		009.eaf																	No speech															L	B		1.0	7.0	1_4
198750	198920	170	undecided				009.eaf														Ja?	Yes?																	L	B		1.0	7.0	1_4
198910	199560	650			gesture		009.eaf														Ja?	Yes?	1.0			1.0		07D											L	B		1.0	7.0	1_4
199020	199360	340	non-gesture				009.eaf			Retraction											Ja?	Yes?	1.0			1.0		07D											L	B		1.0	7.0	1_4
199070	199360	290		non-gesture			009.eaf			Retraction						Retraction					Ja?	Yes?	1.0			1.0		07D											L	B		1.0	7.0	1_4
200690	201100	410		non-gesture			009.eaf																																L	B		1.0	7.0	1_4
203220	203710	490				non-gesture	009.eaf																							Prep					En dan net onder dat bochtje zit een steel helemaal van de ene kant en die loopt door naar de andere kant.	And then just below that bend is a stem all the way from one side and it continues to the other side.			L	B		1.0	7.0	1_4
204590	205070	480				gesture	009.eaf																									1.0		07B	En dan net onder dat bochtje zit een steel helemaal van de ene kant en die loopt door naar de andere kant.	And then just below that bend is a stem all the way from one side and it continues to the other side.			L	B		1.0	7.0	1_4
205870	206260	390				gesture	009.eaf																									1.0		07B	En dan net onder dat bochtje zit een steel helemaal van de ene kant en die loopt door naar de andere kant.	And then just below that bend is a stem all the way from one side and it continues to the other side.			L	B		1.0	7.0	1_4
206660	207070	410				gesture	009.eaf																									1.0		07B	En dan net onder dat bochtje zit een steel helemaal van de ene kant en die loopt door naar de andere kant.	And then just below that bend is a stem all the way from one side and it continues to the other side.			L	B		1.0	7.0	1_4
207360	207700	340				gesture	009.eaf																						1.0						En dan net onder dat bochtje zit een steel helemaal van de ene kant en die loopt door naar de andere kant.	And then just below that bend is a stem all the way from one side and it continues to the other side.			L	B		1.0	7.0	1_4
207770	208030	260		non-gesture			009.eaf									Prep					Een soort doorboord.	Sort of pierced.																	L	B		1.0	7.0	1_4
208030	208280	250	undecided	gesture			009.eaf									06D is just a guess		1.0		06D	Een soort doorboord.	Sort of pierced.																	L	B		1.0	7.0	1_4
208350	208600	250				non-gesture	009.eaf														Een soort doorboord.	Sort of pierced.								Retraction									L	B		1.0	7.0	1_4
208470	208740	270	undecided				009.eaf														Een soort doorboord.	Sort of pierced.								Retraction									L	B		1.0	7.0	1_4
208950	209280	330	non-gesture				009.eaf			Retraction																													L	B		1.0	7.0	1_4
211930	212470	540		non-gesture			009.eaf									Retraction																							L	B		1.0	7.0	1_4
212620	212860	240			undecided	undecided	009.eaf														Oké, dan denk ik...	Okay, then I guess...		Prep or part of stroke?						Prep or part of stroke?					En aan aan die steel zitten nog twee kleine steeltjes.	And attached to that stem are two more small stalks.			L	B		1.0	7.0	1_4
212720	213000	280	non-gesture				009.eaf														Oké, dan denk ik...	Okay, then I guess...		Prep or part of stroke?						Prep or part of stroke?					En aan aan die steel zitten nog twee kleine steeltjes.	And attached to that stem are two more small stalks.			L	B		1.0	7.0	1_4
212860	213150	290			gesture	gesture	009.eaf														Oké, dan denk ik...	Okay, then I guess...				1.0		07B				1.0		07B	En aan aan die steel zitten nog twee kleine steeltjes.	And attached to that stem are two more small stalks.			L	B		1.0	7.0	1_4
213520	214910	1390			gesture	gesture	009.eaf																			1.0		07C				1.0		07C	En aan aan die steel zitten nog twee kleine steeltjes.	And attached to that stem are two more small stalks.			L	B		1.0	7.0	1_4
219980	220300	320			undecided	undecided	009.eaf																												En dan heb je nog boven er bovenop, zeg maar, aan de rechterkant bovenaan nog een soort driehoekje, vierkantje idee-achtig.	And then you have on top of it, say, on the right side at the top another kind of triangle, square idea-like.			L	B		1.0	7.0	1_4
221890	222110	220				gesture	009.eaf																								1.0				En dan heb je nog boven er bovenop, zeg maar, aan de rechterkant bovenaan nog een soort driehoekje, vierkantje idee-achtig.	And then you have on top of it, say, on the right side at the top another kind of triangle, square idea-like.			L	B		1.0	7.0	1_4
222430	222650	220	non-gesture				009.eaf			Interesting, 2 fingers moving in the direction specified by B (slightly)																									En dan heb je nog boven er bovenop, zeg maar, aan de rechterkant bovenaan nog een soort driehoekje, vierkantje idee-achtig.	And then you have on top of it, say, on the right side at the top another kind of triangle, square idea-like.			L	B		1.0	7.0	1_4
222880	223090	210				non-gesture	009.eaf																							Prep?					En dan heb je nog boven er bovenop, zeg maar, aan de rechterkant bovenaan nog een soort driehoekje, vierkantje idee-achtig.	And then you have on top of it, say, on the right side at the top another kind of triangle, square idea-like.			L	B		1.0	7.0	1_4
222910	223110	200	non-gesture				009.eaf			Interesting, 2 fingers moving in the direction specified by B (slightly)																				Prep?					En dan heb je nog boven er bovenop, zeg maar, aan de rechterkant bovenaan nog een soort driehoekje, vierkantje idee-achtig.	And then you have on top of it, say, on the right side at the top another kind of triangle, square idea-like.			L	B		1.0	7.0	1_4
223090	223320	230				gesture	009.eaf			Interesting, 2 fingers moving in the direction specified by B (slightly)																						1.0		other	En dan heb je nog boven er bovenop, zeg maar, aan de rechterkant bovenaan nog een soort driehoekje, vierkantje idee-achtig.	And then you have on top of it, say, on the right side at the top another kind of triangle, square idea-like.			L	B		1.0	7.0	1_4
225870	226170	300			non-gesture	non-gesture	009.eaf																	Prep						Prep					En dan heb je nog boven er bovenop, zeg maar, aan de rechterkant bovenaan nog een soort driehoekje, vierkantje idee-achtig.	And then you have on top of it, say, on the right side at the top another kind of triangle, square idea-like.			L	B		1.0	7.0	1_4
226170	226650	480			gesture	gesture	009.eaf																			1.0		07A				1.0		07A	En dan heb je nog boven er bovenop, zeg maar, aan de rechterkant bovenaan nog een soort driehoekje, vierkantje idee-achtig.	And then you have on top of it, say, on the right side at the top another kind of triangle, square idea-like.			L	B		1.0	7.0	1_4
226650	227100	450			undecided	undecided	009.eaf																												En dan heb je nog boven er bovenop, zeg maar, aan de rechterkant bovenaan nog een soort driehoekje, vierkantje idee-achtig.	And then you have on top of it, say, on the right side at the top another kind of triangle, square idea-like.			L	B		1.0	7.0	1_4
227100	227340	240					009.eaf																												En dan heb je nog boven er bovenop, zeg maar, aan de rechterkant bovenaan nog een soort driehoekje, vierkantje idee-achtig.	And then you have on top of it, say, on the right side at the top another kind of triangle, square idea-like.			L	B		1.0	7.0	1_4
227340	227800	460			non-gesture	non-gesture	009.eaf																	Retraction						Retraction					En dan heb je nog boven er bovenop, zeg maar, aan de rechterkant bovenaan nog een soort driehoekje, vierkantje idee-achtig.	And then you have on top of it, say, on the right side at the top another kind of triangle, square idea-like.			L	B		1.0	7.0	1_4
236200	236400	200	non-gesture				009.eaf																																L	B		1.0	7.0	1_4
237360	238130	770	non-gesture				009.eaf														Even kijken, ik ga ze even allemaal bekijken.	Let's see, I'm going to check them all out.																	L	B		1.0	7.0	1_4
247950	248200	250	gesture	gesture			009.eaf				1.0						1.0				Het is gewoon een rondje met aan de zijkant een heel klein links een heel klein bochtje.	It's just a circle with a very small left turn on the side.																	L	B		1.0	7.0	1_4
248870	249140	270	undecided	undecided			009.eaf														Het is gewoon een rondje met aan de zijkant een heel klein links een heel klein bochtje.	It's just a circle with a very small left turn on the side.																	L	B		1.0	7.0	1_4
249420	249720	300		gesture			009.eaf										1.0				Het is gewoon een rondje met aan de zijkant een heel klein links een heel klein bochtje.	It's just a circle with a very small left turn on the side.																	L	B		1.0	7.0	1_4
249500	249720	220	gesture				009.eaf				1.0						1.0																						L	B		1.0	7.0	1_4
250400	250650	250		undecided			009.eaf														En eh en wat was het nou rechts?	And um and what was it right?																	L	B		1.0	7.0	1_4
251080	251340	260		undecided			009.eaf									Aborted?					En eh en wat was het nou rechts?	And um and what was it right?																	L	B		1.0	7.0	1_4
253430	253830	400	undecided	undecided			009.eaf														En eh en wat was het nou rechts?	And um and what was it right?																	L	B		1.0	7.0	1_4
254180	254610	430	gesture	gesture			009.eaf		1.0				1.0		1.0				1.0		En eh en wat was het nou rechts?	And um and what was it right?																	L	B		1.0	7.0	1_4
256460	256710	250			gesture	gesture	009.eaf																			1.0		07A				1.0		07A	Rechts rechts een soort eh driehoek	Right right kind of eh triangle			L	B		1.0	7.0	1_4
260000	260220	220					009.eaf																												en dan in de schaduw is het, zeg maar, een soort het is een 3D-driehoek.	and then in the shadow it's, say, kind of it's a 3D triangle.			L	B		1.0	7.0	1_4
260430	260730	300				undecided	009.eaf																							Prep or part of stroke?					en dan in de schaduw is het, zeg maar, een soort het is een 3D-driehoek.	and then in the shadow it's, say, kind of it's a 3D triangle.			L	B		1.0	7.0	1_4
260730	261150	420					009.eaf																												en dan in de schaduw is het, zeg maar, een soort het is een 3D-driehoek.	and then in the shadow it's, say, kind of it's a 3D triangle.			L	B		1.0	7.0	1_4
277110	278640	1530			gesture		009.eaf																			1.0		07B				1.0		07B	Ja, die driehoek, die zeg maar dat dat steeltje zit voor de driehoekje nog een beetje aan de onderkant.	Yes, that triangle, that say that that stalk is for the triangle still a little bit at the bottom.			L	B		1.0	7.0	1_4
277110	278660	1550				gesture	009.eaf																			1.0		07B				1.0		07B	Ja, die driehoek, die zeg maar dat dat steeltje zit voor de driehoekje nog een beetje aan de onderkant.	Yes, that triangle, that say that that stalk is for the triangle still a little bit at the bottom.			L	B		1.0	7.0	1_4
283880	284210	330			non-gesture		009.eaf														Ik denk...	I think...		Prep											Gewoon een horizontale lijn, zeg maar, doorheen.	Just a horizontal line, say, through it.			L	B		1.0	7.0	1_4
284210	284410	200			gesture		009.eaf														Ik denk...	I think...	1.0			1.0		07B							Gewoon een horizontale lijn, zeg maar, doorheen.	Just a horizontal line, say, through it.			L	B		1.0	7.0	1_4
294820	294980	160	gesture	gesture			009.eaf						1.0						1.0		Ik heb nu een soort, ik vind het een soort gezichtje, een soort, ja, misschien racistisch, maar dat bedoel ik niet zo, een indiaan.	I now have a kind of, I think it's a kind of face, a kind of, yes, maybe racist, but I don't mean it that way, an Indian.																	8	A		1.0	4.0	1_5
295720	295940	220	gesture 	gesture			009.eaf		1.0						1.0						Ik heb nu een soort, ik vind het een soort gezichtje, een soort, ja, misschien racistisch, maar dat bedoel ik niet zo, een indiaan.	I now have a kind of, I think it's a kind of face, a kind of, yes, maybe racist, but I don't mean it that way, an Indian.																	8	A		1.0	4.0	1_5
296510	296710	200	gesture				009.eaf						1.0								Ik heb nu een soort, ik vind het een soort gezichtje, een soort, ja, misschien racistisch, maar dat bedoel ik niet zo, een indiaan.	I now have a kind of, I think it's a kind of face, a kind of, yes, maybe racist, but I don't mean it that way, an Indian.																	8	A		1.0	4.0	1_5
296780	297070	290	gesture	gesture			009.eaf		1.0						1.0						Ik heb nu een soort, ik vind het een soort gezichtje, een soort, ja, misschien racistisch, maar dat bedoel ik niet zo, een indiaan.	I now have a kind of, I think it's a kind of face, a kind of, yes, maybe racist, but I don't mean it that way, an Indian.																	8	A		1.0	4.0	1_5
297760	297910	150	gesture	gesture			009.eaf		1.0						1.0						Ik heb nu een soort, ik vind het een soort gezichtje, een soort, ja, misschien racistisch, maar dat bedoel ik niet zo, een indiaan.	I now have a kind of, I think it's a kind of face, a kind of, yes, maybe racist, but I don't mean it that way, an Indian.																	8	A		1.0	4.0	1_5
298290	298570	280					009.eaf														Ik heb nu een soort, ik vind het een soort gezichtje, een soort, ja, misschien racistisch, maar dat bedoel ik niet zo, een indiaan.	I now have a kind of, I think it's a kind of face, a kind of, yes, maybe racist, but I don't mean it that way, an Indian.																	8	A		1.0	4.0	1_5
298290	298740	450					009.eaf														Ik heb nu een soort, ik vind het een soort gezichtje, een soort, ja, misschien racistisch, maar dat bedoel ik niet zo, een indiaan.	I now have a kind of, I think it's a kind of face, a kind of, yes, maybe racist, but I don't mean it that way, an Indian.																	8	A		1.0	4.0	1_5
299790	300110	320	gesture	gesture			009.eaf														(soort) met snorharen, zeg maar zo.	(sort of) with whiskers, say so.																	8	A		1.0	4.0	1_5
300760	300950	190		gesture			009.eaf														(soort) met snorharen, zeg maar zo.	(sort of) with whiskers, say so.																	8	A		1.0	4.0	1_5
301110	301320	210		gesture			009.eaf														(soort) met snorharen, zeg maar zo.	(sort of) with whiskers, say so.																	8	A		1.0	4.0	1_5
303070	303280	210	gesture				009.eaf				1.0										En dan hier zo'n soort neus.	And then here's that kind of nose.																	8	A		1.0	4.0	1_5
303510	304520	1010	gesture				009.eaf			Eye gaze follows finger nicely											En dan hier zo'n soort neus.	And then here's that kind of nose.																	8	A		1.0	4.0	1_5
304520	305390	870					009.eaf																																8	A		1.0	4.0	1_5
306020	306560	540					009.eaf																												Oh eh	Oh eh			8	A		1.0	4.0	1_5
307030	307140	110		non-gesture			009.eaf									RH held up until here					Wacht, bovenop staat soort een soort driehoek, maar dan de punt van het driehoek is soort afgesneden.	Wait, on top is kind of like a triangle, but then the tip of the triangle is kind of cut off.													Oh eh	Oh eh			8	A		1.0	4.0	1_5
307750	308120	370	non-gesture	non-gesture			009.eaf			Prep						Prep					Wacht, bovenop staat soort een soort driehoek, maar dan de punt van het driehoek is soort afgesneden.	Wait, on top is kind of like a triangle, but then the tip of the triangle is kind of cut off.																	8	A		1.0	4.0	1_5
308120	308520	400	gesture	gesture			009.eaf														Wacht, bovenop staat soort een soort driehoek, maar dan de punt van het driehoek is soort afgesneden.	Wait, on top is kind of like a triangle, but then the tip of the triangle is kind of cut off.																	8	A		1.0	4.0	1_5
311550	312360	810	 gesture 	gesture			009.eaf					1.0		04A				1.0		04A	Wacht, bovenop staat soort een soort driehoek, maar dan de punt van het driehoek is soort afgesneden.	Wait, on top is kind of like a triangle, but then the tip of the triangle is kind of cut off.																	8	A		1.0	4.0	1_5
313940	314190	250		gesture			009.eaf										1.0				En rechts staan zeg maar twee van die snorharen.	And on the right are say two of those whiskers.																	8	A		1.0	4.0	1_5
314990	316600	1610		gesture			009.eaf											1.0		04B	En rechts staan zeg maar twee van die snorharen.	And on the right are say two of those whiskers.																	8	A		1.0	4.0	1_5
316870	317020	150			non-gesture	non-gesture	009.eaf																	Prep						Prep					Ja, die zitten, zeg maar, parallel aan elkaar.	Yes, they are, so to speak, parallel to each other.			8	A		1.0	4.0	1_5
317020	317410	390					009.eaf																												Ja, die zitten, zeg maar, parallel aan elkaar.	Yes, they are, so to speak, parallel to each other.			8	A		1.0	4.0	1_5
317790	317960	170			gesture	gesture	009.eaf																			1.0		04B				1.0		04B	Ja, die zitten, zeg maar, parallel aan elkaar.	Yes, they are, so to speak, parallel to each other.			8	A		1.0	4.0	1_5
320720	321040	320	gesture				009.eaf					1.0		04D							en links heb je een soort neusje en een soort voetje of zoiets.	and on the left you have some kind of nose and some kind of foot or something.																	8	A		1.0	4.0	1_5
321560	321960	400	gesture				009.eaf														en links heb je een soort neusje en een soort voetje of zoiets.	and on the left you have some kind of nose and some kind of foot or something.																	8	A		1.0	4.0	1_5
321960	322170	210					009.eaf														en links heb je een soort neusje en een soort voetje of zoiets.	and on the left you have some kind of nose and some kind of foot or something.																	8	A		1.0	4.0	1_5
322390	322590	200	non-gesture				009.eaf			Retraction											en links heb je een soort neusje en een soort voetje of zoiets.	and on the left you have some kind of nose and some kind of foot or something.																	8	A		1.0	4.0	1_5
323440	323610	170				gesture	009.eaf														oké, top, ja	okay, top, yeah											1.0		Ok , dan weet ik hem.	Ok , then I know him.			8	A		1.0	4.0	1_5
334340	334720	380			gesture	gesture	009.eaf																			1.0		05A				1.0		05A	En bovenop ligt een balk.	And on top is a beam.			K	B		1.0	5.0	1_6
334720	335240	520			undecided	undecided	009.eaf																	Retraction or part of stroke?						Retraction or part of stroke?					En bovenop ligt een balk.	And on top is a beam.			K	B		1.0	5.0	1_6
343090	343340	250				gesture	009.eaf																								1.0				En het en de neus is, zeg maar, een soort driehoekje naar beneden.	And it and the nose is, say, a kind of triangle down.			K	B		1.0	5.0	1_6
343910	344060	150				gesture	009.eaf																								1.0				En het en de neus is, zeg maar, een soort driehoekje naar beneden.	And it and the nose is, say, a kind of triangle down.			K	B		1.0	5.0	1_6
344710	344960	250				undecided	009.eaf																																K	B		1.0	5.0	1_6
345370	345640	270			non-gesture	non-gesture	009.eaf														(kijken) nee	(looking) no		No speech						No speech					En dan best wel laag zit hij	And then quite low he sits			K	B		1.0	5.0	1_6
347250	347340	90				gesture	009.eaf														Even kijken hoor, bovenop ligt hem wel.	Let's see though, on top is it.									1.0				En dan best wel laag zit hij	And then quite low he sits			K	B		1.0	5.0	1_6
348920	349150	230			gesture		009.eaf														Best wel laag.	Pretty low.		Tiny 'pulling' motion of left hand whilst saying 'left side'	1.0										aan de linkerkant.	on the left.			K	B		1.0	5.0	1_6
358350	358490	140	gesture				009.eaf				1.0										Een balk, ja.	A beam, yes.													En bovenop ligt dus een balk en dat is een een enige, denk ik.	And so on top is a beam and that's a one and only, I think.			K	B		1.0	5.0	1_6
358920	359200	280	non-gesture				009.eaf			Retraction?											Een balk, ja.	A beam, yes.													En bovenop ligt dus een balk en dat is een een enige, denk ik.	And so on top is a beam and that's a one and only, I think.			K	B		1.0	5.0	1_6
359200	359980	780	non-gesture 				009.eaf																												En bovenop ligt dus een balk en dat is een een enige, denk ik.	And so on top is a beam and that's a one and only, I think.			K	B		1.0	5.0	1_6
360920	361110	190	gesture				009.eaf														Gewoon zeg maar, die balk, zie je die van de zijkant een beetje?	Just say, that beam, can you see it from the side a little bit?													En bovenop ligt dus een balk en dat is een een enige, denk ik.	And so on top is a beam and that's a one and only, I think.			K	B		1.0	5.0	1_6
361450	361590	140	gesture				009.eaf		1.0												Gewoon zeg maar, die balk, zie je die van de zijkant een beetje?	Just say, that beam, can you see it from the side a little bit?																	K	B		1.0	5.0	1_6
361900	362500	600	non-gesture				009.eaf			Prep?											Gewoon zeg maar, die balk, zie je die van de zijkant een beetje?	Just say, that beam, can you see it from the side a little bit?																	K	B		1.0	5.0	1_6
362500	363090	590	gesture				009.eaf					1.0		05A							Gewoon zeg maar, die balk, zie je die van de zijkant een beetje?	Just say, that beam, can you see it from the side a little bit?																	K	B		1.0	5.0	1_6
365820	366350	530				gesture	009.eaf														Oké.	Okay.										1.0		05A	Je ziet, zeg maar, het vierkantje en dan verder.	You see, say, the square and then on.			K	B		1.0	5.0	1_6
366740	367730	990					009.eaf																												Je ziet, zeg maar, het vierkantje en dan verder.	You see, say, the square and then on.			K	B		1.0	5.0	1_6
366750	367700	950				gesture	009.eaf																									1.0		05A	Je ziet, zeg maar, het vierkantje en dan verder.	You see, say, the square and then on.			K	B		1.0	5.0	1_6
372350	372550	200				gesture	009.eaf																									1.0		05B	Ja, zo'n rond staafje ja.	Yes, such a round rod yes.			K	B		1.0	5.0	1_6
387250	387590	340	undecided	undecided			009.eaf			Prep or part of stroke?						Prep or part of stroke?					Ik heb nu een soort van een kopje die zeg maar doorboord is.	I now have sort of a cup that is, say, pierced.																	11	A		1.0	10.0	1_7
387590	387850	260	gesture	gesture			009.eaf					1.0		10E				1.0		10A	Ik heb nu een soort van een kopje die zeg maar doorboord is.	I now have sort of a cup that is, say, pierced.																	11	A		1.0	10.0	1_7
390970	391210	240	gesture	gesture			009.eaf			Gesturing two whilst saying two		1.0		other		Gesturing two whilst saying two		1.0		other	Met, je zou, ja, ik heb er twee die, zeg maar, waar het door loopt, zeg maar door het kopje heen.	With, you would, yes, I have two that, say, where it runs through, say through the cup.																	11	A		1.0	10.0	1_7
393030	394550	1520	gesture	gesture			009.eaf			Refers to both 10 and 13		1.0		10E		Refers to both 10 and 13		1.0		10A	Met, je zou, ja, ik heb er twee die, zeg maar, waar het door loopt, zeg maar door het kopje heen.	With, you would, yes, I have two that, say, where it runs through, say through the cup.																	11	A		1.0	10.0	1_7
395950	396400	450	gesture	gesture			009.eaf		1.0						1.0						En eentje lijkt een beetje op een spijker.	And one looks a little like a nail.																	11	A		1.0	10.0	1_7
399720	400100	380	gesture	gesture			009.eaf			...Idk		1.0		other		...Idk		1.0		other	En eentje is meer ehm glad.	And one is more um smooth.																	11	A		1.0	10.0	1_7
401500	402770	1270	non-gesture	non-gesture			009.eaf			No speech						No speech																			Ja, een soort vierkant er doorheen.	Yes, kind of a square through it.			11	A		1.0	10.0	1_7
404910	405480	570		gesture			009.eaf											1.0		10A+10E	Eh nee, het is wel echt een cilinder.	Um no, it's really a cylinder though.																	11	A		1.0	10.0	1_7
407220	407500	280	gesture				009.eaf			'through'		1.0		other																									11	A		1.0	10.0	1_7
414410	414710	300	non-gesture	non-gesture			009.eaf			Prep?						Prep?					Zeg maar, je hebt waarschijnlijk een kopje die op een plateautje staat, op een soort bordje.	Say, you probably have a cup standing on a tray, on some kind of plate.																	11	A		1.0	10.0	1_7
414710	415000	290	gesture	gesture			009.eaf					1.0		13D				1.0		13D	Zeg maar, je hebt waarschijnlijk een kopje die op een plateautje staat, op een soort bordje.	Say, you probably have a cup standing on a tray, on some kind of plate.																	11	A		1.0	10.0	1_7
415630	415780	150	gesture	gesture			009.eaf			'on (top of) a' 		1.0		other		'on (top of) a 		1.0		other	Zeg maar, je hebt waarschijnlijk een kopje die op een plateautje staat, op een soort bordje.	Say, you probably have a cup standing on a tray, on some kind of plate.																	11	A		1.0	10.0	1_7
415870	416440	570	gesture	gesture			009.eaf					1.0		13D				1.0		13D	Zeg maar, je hebt waarschijnlijk een kopje die op een plateautje staat, op een soort bordje.	Say, you probably have a cup standing on a tray, on some kind of plate.																	11	A		1.0	10.0	1_7
417410	417870	460	non-gesture				009.eaf														Ja, die is het niet.	Yes, it is not.																	11	A		1.0	10.0	1_7
417430	417830	400		gesture			009.eaf									iconic for negation?		1.0		other	Ja, die is het niet.	Yes, it is not.																	11	A		1.0	10.0	1_7
419730	419910	180	undecided	undecided			009.eaf														Je hebt een andere,	You have another one,																	11	A		1.0	10.0	1_7
421460	421730	270	gesture	gesture			009.eaf			main?		1.0		main		10A?		1.0		10A	die ook doorboord is.	which is also pierced.																	11	A		1.0	10.0	1_7
422630	422880	250	gesture	non-gesture			009.eaf				1.0										En daarachter is een soort, ik vind het een soort zonnepaneel.	And behind it is a kind of, I think it's a kind of solar panel.																	11	A		1.0	10.0	1_7
423400	424020	620	gesture	gesture			009.eaf						1.0						1.0		En daarachter is een soort, ik vind het een soort zonnepaneel.	And behind it is a kind of, I think it's a kind of solar panel.																	11	A		1.0	10.0	1_7
425370	425610	240					009.eaf														Als je snapt wat ik bedoel.	If you know what I mean.													Ja, ja, ja, ja, ja.	Yes, yes, yes, yes, yes, yes.			11	A		1.0	10.0	1_7
427440	427610	170				gesture	009.eaf																										1.0		*11*	*11*			11	A		1.0	10.0	1_7
432021	432441	420				gesture	009.eaf																									1.0		other	Ok , ik heb een kopje en die staat op een driehoekje.	Ok , I have a cup and it is on a triangle.			N	B		1.0	3.0	1_8
433060	433270	210			gesture	gesture	009.eaf																			1.0		03D				1.0		03D	Ok , ik heb een kopje en die staat op een driehoekje.	Ok , I have a cup and it is on a triangle.			N	B		1.0	3.0	1_8
434460	435620	1160			gesture	gesture	009.eaf														Op een driehoek.	On a triangle.	1.0	Beat-like because movement flows with speech - can take out of course		1.0		03C				1.0		03D	Met een steeltje eraan.	With a stalk attached.			N	B		1.0	3.0	1_8
438930	439490	560		gesture			009.eaf								1.0		1.0	1.0		03A	En een soort vierkantje hier zo?	And kind of a square here like this?																	N	B		1.0	3.0	1_8
441380	441670	290				gesture	009.eaf																						1.0		1.0	1.0		03B	En nog een vierkantje ernaast, zeg maar.	And another square next to it, so to speak.			N	B		1.0	3.0	1_8
450468	451108	640					009.eaf														En die- onder het kopje zit een soort van pootje.	And that-under the cup is a kind of paw.																	16	A		1.0	8.0	1_9
451290	451790	500					009.eaf														En die- onder het kopje zit een soort van pootje.	And that-under the cup is a kind of paw.																	16	A		1.0	8.0	1_9
452240	453270	1030		gesture			009.eaf											1.0		08E	En die- onder het kopje zit een soort van pootje.	And that-under the cup is a kind of paw.																	16	A		1.0	8.0	1_9
453760	454190	430					009.eaf														Maar het loopt een soort van zo.	But it kind of runs that way.																	16	A		1.0	8.0	1_9
454380	455060	680		gesture			009.eaf											1.0		08E-REP	Maar het loopt een soort van zo.	But it kind of runs that way.																	16	A		1.0	8.0	1_9
455490	455950	460		gesture			009.eaf											1.0		08E-rep																			16	A		1.0	8.0	1_9
456420	457090	670		gesture			009.eaf											1.0		08E-rep	Als je mij kan zien, zeg maar.	If you can see me, say.													Een bochtje.	A turn.			16	A		1.0	8.0	1_9
457980	458460	480		gesture			009.eaf											1.0		08E	Een soort bo- ja bochtje.	A kind of bo- yes bend.																	16	A		1.0	8.0	1_9
464590	464870	280	non-gesture	non-gesture			009.eaf														Een ander pootje heeft die soort van zo.	Another leg has that kind of like this.																A (consistently) embodies fribble 8 when she is director	16	A		1.0	8.0	1_9
466990	467290	300	gesture				009.eaf					1.0		08C							En een soort neus.	And some kind of nose.													Ja, best wel hoog dan, toch?	Yeah, pretty high then, right?			16	A		1.0	8.0	1_9
470420	470760	340	gesture	gesture			009.eaf					1.0		08A				1.0		08A	En bovenop is een soort driehoek met daarnaast twee-	And on top is a kind of triangle with two-																	16	A		1.0	8.0	1_9
471410	471870	460	gesture	gesture			009.eaf					1.0		08B				1.0		08B	En bovenop is een soort driehoek met daarnaast twee-	And on top is a kind of triangle with two-																	16	A		1.0	8.0	1_9
472130	472250	120			gesture	gesture	009.eaf														En bovenop is een soort driehoek met daarnaast twee-	And on top is a kind of triangle with two-				1.0		08B				1.0		08B	Twee oren.	Two ears.			16	A		1.0	8.0	1_9
472190	472430	240	non-gesture	non-gesture			009.eaf			No speech						No speech										1.0		08B				1.0		08B	Twee oren.	Two ears.			16	A		1.0	8.0	1_9
472800	473130	330			non-gesture	non-gesture	009.eaf														ja, ja.	yes, yes.		No speech						No speech									16	A		1.0	8.0	1_9
